#Coverage	Number of genomic locations
0.0	1.999302636E9
1.0	2.24838231E8
2.0	2.11083868E8
3.0	1.85224098E8
4.0	1.50590795E8
5.0	1.12775171E8
6.0	7.8330679E7
7.0	5.1134288E7
8.0	3.1600629E7
9.0	1.8727171E7
10.0	1.0681855E7
11.0	5942624.0
12.0	3232082.0
13.0	1752251.0
14.0	963749.0
15.0	542656.0
16.0	321354.0
17.0	203988.0
18.0	140395.0
19.0	105392.0
20.0	82806.0
21.0	66453.0
22.0	56375.0
23.0	49081.0
24.0	42759.0
25.0	37237.0
26.0	31532.0
27.0	26736.0
28.0	23491.0
29.0	20865.0
30.0	19217.0
31.0	17104.0
32.0	15263.0
33.0	13529.0
34.0	12286.0
35.0	10778.0
36.0	9795.0
37.0	9103.0
38.0	8272.0
39.0	7570.0
40.0	7016.0
41.0	6859.0
42.0	5989.0
43.0	5674.0
44.0	5133.0
45.0	4697.0
46.0	4341.0
47.0	4193.0
48.0	3824.0
49.0	3639.0
50.0	3261.0
51.0	2939.0
52.0	2631.0
53.0	2490.0
54.0	2465.0
55.0	2386.0
56.0	2241.0
57.0	2003.0
58.0	1869.0
59.0	1753.0
60.0	1828.0
61.0	1754.0
62.0	1678.0
63.0	1697.0
64.0	1715.0
65.0	1628.0
66.0	1640.0
67.0	1535.0
68.0	1367.0
69.0	1349.0
70.0	1264.0
71.0	1282.0
72.0	1228.0
73.0	1262.0
74.0	1203.0
75.0	1126.0
76.0	1189.0
77.0	1078.0
78.0	1028.0
79.0	1029.0
80.0	954.0
81.0	984.0
82.0	1032.0
83.0	938.0
84.0	879.0
85.0	895.0
86.0	824.0
87.0	875.0
88.0	840.0
89.0	913.0
90.0	824.0
91.0	798.0
92.0	870.0
93.0	847.0
94.0	871.0
95.0	799.0
96.0	832.0
97.0	804.0
98.0	710.0
99.0	631.0
100.0	700.0
101.0	613.0
102.0	630.0
103.0	635.0
104.0	647.0
105.0	645.0
106.0	578.0
107.0	629.0
108.0	635.0
109.0	611.0
110.0	606.0
111.0	584.0
112.0	663.0
113.0	622.0
114.0	583.0
115.0	538.0
116.0	506.0
117.0	630.0
118.0	510.0
119.0	576.0
120.0	508.0
121.0	523.0
122.0	536.0
123.0	569.0
124.0	567.0
125.0	546.0
126.0	491.0
127.0	510.0
128.0	528.0
129.0	499.0
130.0	467.0
131.0	503.0
132.0	478.0
133.0	483.0
134.0	458.0
135.0	465.0
136.0	439.0
137.0	480.0
138.0	486.0
139.0	429.0
140.0	482.0
141.0	425.0
142.0	406.0
143.0	443.0
144.0	404.0
145.0	377.0
146.0	384.0
147.0	438.0
148.0	393.0
149.0	437.0
150.0	418.0
151.0	414.0
152.0	389.0
153.0	370.0
154.0	386.0
155.0	383.0
156.0	400.0
157.0	415.0
158.0	368.0
159.0	411.0
160.0	365.0
161.0	358.0
162.0	325.0
163.0	357.0
164.0	310.0
165.0	344.0
166.0	379.0
167.0	300.0
168.0	317.0
169.0	345.0
170.0	325.0
171.0	353.0
172.0	347.0
173.0	354.0
174.0	321.0
175.0	374.0
176.0	376.0
177.0	336.0
178.0	380.0
179.0	318.0
180.0	314.0
181.0	320.0
182.0	319.0
183.0	276.0
184.0	289.0
185.0	275.0
186.0	268.0
187.0	299.0
188.0	291.0
189.0	278.0
190.0	302.0
191.0	317.0
192.0	333.0
193.0	317.0
194.0	317.0
195.0	272.0
196.0	269.0
197.0	300.0
198.0	303.0
199.0	323.0
200.0	308.0
201.0	323.0
202.0	280.0
203.0	288.0
204.0	316.0
205.0	309.0
206.0	277.0
207.0	263.0
208.0	272.0
209.0	230.0
210.0	261.0
211.0	205.0
212.0	222.0
213.0	226.0
214.0	231.0
215.0	247.0
216.0	256.0
217.0	261.0
218.0	250.0
219.0	272.0
220.0	266.0
221.0	292.0
222.0	265.0
223.0	274.0
224.0	269.0
225.0	263.0
226.0	268.0
227.0	278.0
228.0	292.0
229.0	281.0
230.0	288.0
231.0	263.0
232.0	270.0
233.0	268.0
234.0	252.0
235.0	285.0
236.0	298.0
237.0	276.0
238.0	282.0
239.0	250.0
240.0	286.0
241.0	278.0
242.0	306.0
243.0	277.0
244.0	286.0
245.0	279.0
246.0	283.0
247.0	268.0
248.0	235.0
249.0	221.0
250.0	286.0
251.0	244.0
252.0	256.0
253.0	250.0
254.0	256.0
255.0	258.0
256.0	277.0
257.0	253.0
258.0	254.0
259.0	235.0
260.0	254.0
261.0	219.0
262.0	231.0
263.0	201.0
264.0	226.0
265.0	222.0
266.0	215.0
267.0	204.0
268.0	206.0
269.0	184.0
270.0	191.0
271.0	183.0
272.0	167.0
273.0	136.0
274.0	160.0
275.0	167.0
276.0	155.0
277.0	151.0
278.0	181.0
279.0	159.0
280.0	152.0
281.0	161.0
282.0	159.0
283.0	135.0
284.0	193.0
285.0	155.0
286.0	130.0
287.0	137.0
288.0	130.0
289.0	123.0
290.0	141.0
291.0	131.0
292.0	130.0
293.0	145.0
294.0	137.0
295.0	108.0
296.0	120.0
297.0	118.0
298.0	113.0
299.0	140.0
300.0	120.0
301.0	135.0
302.0	129.0
303.0	142.0
304.0	135.0
305.0	137.0
306.0	109.0
307.0	136.0
308.0	120.0
309.0	121.0
310.0	129.0
311.0	113.0
312.0	106.0
313.0	115.0
314.0	99.0
315.0	128.0
316.0	111.0
317.0	122.0
318.0	126.0
319.0	122.0
320.0	122.0
321.0	140.0
322.0	116.0
323.0	135.0
324.0	115.0
325.0	103.0
326.0	110.0
327.0	99.0
328.0	125.0
329.0	131.0
330.0	113.0
331.0	121.0
332.0	141.0
333.0	149.0
334.0	113.0
335.0	108.0
336.0	118.0
337.0	125.0
338.0	118.0
339.0	103.0
340.0	126.0
341.0	116.0
342.0	123.0
343.0	107.0
344.0	120.0
345.0	120.0
346.0	135.0
347.0	131.0
348.0	133.0
349.0	124.0
350.0	119.0
351.0	127.0
352.0	123.0
353.0	141.0
354.0	135.0
355.0	129.0
356.0	129.0
357.0	101.0
358.0	120.0
359.0	129.0
360.0	106.0
361.0	113.0
362.0	121.0
363.0	126.0
364.0	120.0
365.0	139.0
366.0	117.0
367.0	116.0
368.0	109.0
369.0	101.0
370.0	98.0
371.0	107.0
372.0	92.0
373.0	106.0
374.0	94.0
375.0	98.0
376.0	98.0
377.0	97.0
378.0	111.0
379.0	99.0
380.0	100.0
381.0	113.0
382.0	104.0
383.0	105.0
384.0	84.0
385.0	106.0
386.0	106.0
387.0	103.0
388.0	133.0
389.0	85.0
390.0	98.0
391.0	102.0
392.0	72.0
393.0	74.0
394.0	93.0
395.0	85.0
396.0	80.0
397.0	70.0
398.0	83.0
399.0	76.0
400.0	89.0
401.0	101.0
402.0	93.0
403.0	82.0
404.0	99.0
405.0	87.0
406.0	85.0
407.0	92.0
408.0	89.0
409.0	101.0
410.0	85.0
411.0	85.0
412.0	93.0
413.0	95.0
414.0	77.0
415.0	85.0
416.0	98.0
417.0	92.0
418.0	85.0
419.0	83.0
420.0	97.0
421.0	89.0
422.0	91.0
423.0	76.0
424.0	85.0
425.0	74.0
426.0	87.0
427.0	93.0
428.0	86.0
429.0	82.0
430.0	78.0
431.0	68.0
432.0	81.0
433.0	68.0
434.0	86.0
435.0	72.0
436.0	71.0
437.0	71.0
438.0	67.0
439.0	67.0
440.0	72.0
441.0	64.0
442.0	83.0
443.0	78.0
444.0	56.0
445.0	114.0
446.0	69.0
447.0	76.0
448.0	71.0
449.0	65.0
450.0	62.0
451.0	78.0
452.0	71.0
453.0	89.0
454.0	74.0
455.0	85.0
456.0	65.0
457.0	71.0
458.0	81.0
459.0	71.0
460.0	88.0
461.0	71.0
462.0	79.0
463.0	73.0
464.0	65.0
465.0	77.0
466.0	68.0
467.0	76.0
468.0	78.0
469.0	94.0
470.0	63.0
471.0	90.0
472.0	82.0
473.0	76.0
474.0	93.0
475.0	90.0
476.0	82.0
477.0	99.0
478.0	75.0
479.0	90.0
480.0	86.0
481.0	82.0
482.0	108.0
483.0	66.0
484.0	65.0
485.0	83.0
486.0	91.0
487.0	87.0
488.0	85.0
489.0	106.0
490.0	87.0
491.0	98.0
492.0	98.0
493.0	94.0
494.0	103.0
495.0	105.0
496.0	104.0
