#Duplication rate	Coverage
1.0	3.722919E7
2.0	917737.0
3.0	35912.0
4.0	12142.0
5.0	8759.0
6.0	7012.0
7.0	5658.0
8.0	4887.0
9.0	4141.0
10.0	3656.0
11.0	3198.0
12.0	2845.0
13.0	2582.0
14.0	2339.0
15.0	2148.0
16.0	1800.0
17.0	1531.0
18.0	1283.0
19.0	1145.0
20.0	891.0
21.0	824.0
22.0	724.0
23.0	589.0
24.0	450.0
25.0	427.0
26.0	355.0
27.0	353.0
28.0	315.0
29.0	303.0
30.0	286.0
31.0	281.0
32.0	276.0
33.0	272.0
34.0	259.0
35.0	260.0
36.0	226.0
37.0	210.0
38.0	206.0
39.0	182.0
40.0	196.0
41.0	205.0
42.0	190.0
43.0	161.0
44.0	158.0
45.0	171.0
46.0	132.0
47.0	139.0
48.0	132.0
49.0	135.0
50.0	5771.0
