#Coverage (X)	Coverage
1.0	35.26264924978534
2.0	27.982395045036327
3.0	21.14750664226426
4.0	15.14995670474788
5.0	10.273831929974818
6.0	6.622175762727892
7.0	4.0858310645230915
8.0	2.4301045736895617
9.0	1.4068772910039797
10.0	0.8004921366224522
11.0	0.4546140382563948
12.0	0.2621920770497894
13.0	0.15753737279447932
14.0	0.10079954554069559
15.0	0.06959338599048692
16.0	0.05202220333102048
17.0	0.04161677183786594
18.0	0.03501164739745377
19.0	0.030465662114920633
20.0	0.027053072771309417
21.0	0.024371817332692558
22.0	0.022220071472943914
23.0	0.020394650907377354
24.0	0.018805409811534446
25.0	0.01742087485875743
26.0	0.016215142076489997
27.0	0.01519413699847405
28.0	0.014328426235891811
29.0	0.013567788461955388
30.0	0.012892180477905413
31.0	0.012269934677306082
32.0	0.011716107744206283
33.0	0.011221892327938576
34.0	0.01078382377217224
35.0	0.010386003513744413
36.0	0.010037012243572008
37.0	0.00971985047966939
38.0	0.009425095652019877
39.0	0.009157248575860422
40.0	0.008912132235622039
41.0	0.00868495439637229
42.0	0.008462860211736256
43.0	0.008268936597247034
44.0	0.008085212671943509
45.0	0.00791900630807163
46.0	0.007766917609245638
47.0	0.007626356178207061
48.0	0.007490586982086711
49.0	0.0073667659932965535
50.0	0.007248935298164838
51.0	0.007143344230058801
