#Insert size (bp)	insert size
85.0	1.0
91.0	2.0
92.0	5.0
93.0	2.0
94.0	7.0
95.0	9.0
96.0	12.0
97.0	18.0
98.0	42.0
99.0	40.0
100.0	93.0
101.0	7524.0
102.0	8288.0
103.0	8969.0
104.0	9423.0
105.0	9831.0
106.0	10676.0
107.0	11063.0
108.0	11677.0
109.0	11985.0
110.0	12695.0
111.0	13254.0
112.0	13924.0
113.0	14456.0
114.0	15443.0
115.0	16075.0
116.0	16358.0
117.0	16987.0
118.0	17456.0
119.0	18031.0
120.0	18701.0
121.0	18934.0
122.0	19579.0
123.0	20005.0
124.0	20742.0
125.0	21238.0
126.0	21929.0
127.0	22461.0
128.0	22452.0
129.0	22699.0
130.0	23302.0
131.0	23525.0
132.0	23776.0
133.0	24309.0
134.0	24626.0
135.0	25309.0
136.0	25563.0
137.0	25811.0
138.0	25886.0
139.0	26146.0
140.0	26406.0
141.0	26462.0
142.0	26649.0
143.0	26846.0
144.0	27310.0
145.0	27573.0
146.0	27760.0
147.0	28354.0
148.0	28223.0
149.0	28456.0
150.0	28399.0
151.0	28612.0
152.0	28534.0
153.0	28595.0
154.0	28430.0
155.0	28683.0
156.0	29236.0
157.0	29291.0
158.0	29688.0
159.0	29729.0
160.0	29802.0
161.0	29611.0
162.0	29465.0
163.0	29616.0
164.0	29527.0
165.0	29796.0
166.0	29909.0
167.0	30124.0
168.0	29965.0
169.0	30361.0
170.0	30545.0
171.0	30594.0
172.0	30236.0
173.0	30468.0
174.0	30172.0
175.0	30174.0
176.0	30843.0
177.0	30279.0
178.0	30861.0
179.0	30731.0
180.0	30729.0
181.0	30888.0
182.0	30915.0
183.0	30416.0
184.0	30416.0
185.0	30580.0
186.0	30841.0
187.0	30879.0
188.0	30640.0
189.0	31014.0
190.0	30520.0
191.0	31071.0
192.0	30995.0
193.0	30860.0
194.0	31149.0
195.0	30666.0
196.0	30807.0
197.0	30538.0
198.0	30614.0
199.0	30967.0
200.0	30850.0
201.0	30847.0
202.0	30790.0
203.0	31087.0
204.0	30850.0
205.0	30639.0
206.0	30896.0
207.0	30476.0
208.0	30799.0
209.0	30678.0
210.0	30704.0
211.0	31001.0
212.0	30688.0
213.0	30613.0
214.0	30971.0
215.0	30502.0
216.0	30641.0
217.0	30588.0
218.0	30844.0
219.0	30578.0
220.0	30688.0
221.0	30692.0
222.0	30669.0
223.0	30657.0
224.0	30434.0
225.0	30499.0
226.0	30457.0
227.0	30472.0
228.0	30723.0
229.0	30329.0
230.0	30457.0
231.0	30759.0
232.0	30882.0
233.0	30473.0
234.0	30586.0
235.0	30765.0
236.0	30647.0
237.0	31049.0
238.0	30882.0
239.0	30738.0
240.0	31338.0
241.0	31203.0
242.0	31294.0
243.0	31344.0
244.0	31348.0
245.0	31539.0
246.0	31505.0
247.0	31783.0
248.0	31628.0
249.0	31873.0
250.0	32187.0
251.0	32417.0
252.0	32735.0
253.0	32669.0
254.0	33154.0
255.0	33289.0
256.0	33864.0
257.0	34149.0
258.0	34583.0
259.0	35132.0
260.0	35374.0
261.0	35827.0
262.0	36534.0
263.0	37467.0
264.0	38087.0
265.0	38428.0
266.0	39500.0
267.0	41133.0
268.0	41746.0
269.0	43461.0
270.0	44599.0
271.0	46367.0
272.0	48009.0
273.0	49757.0
274.0	52091.0
275.0	54032.0
276.0	57176.0
277.0	59670.0
278.0	62833.0
279.0	65649.0
280.0	69497.0
281.0	72685.0
282.0	76504.0
283.0	80522.0
284.0	84764.0
285.0	88860.0
286.0	93996.0
287.0	98144.0
288.0	102712.0
289.0	106684.0
290.0	111261.0
291.0	114698.0
292.0	118301.0
293.0	121916.0
294.0	125994.0
295.0	127492.0
296.0	129689.0
297.0	132455.0
298.0	133186.0
299.0	134915.0
300.0	136092.0
301.0	136955.0
302.0	137631.0
303.0	136805.0
304.0	136731.0
305.0	137037.0
306.0	136762.0
307.0	136191.0
308.0	135679.0
309.0	134993.0
310.0	134746.0
311.0	133809.0
312.0	133626.0
313.0	132476.0
314.0	130990.0
315.0	130534.0
316.0	130752.0
317.0	129492.0
318.0	129009.0
319.0	128944.0
320.0	127891.0
321.0	127316.0
322.0	127567.0
323.0	126697.0
324.0	124989.0
325.0	124313.0
326.0	124920.0
327.0	123679.0
328.0	123346.0
329.0	123063.0
330.0	122505.0
331.0	121717.0
332.0	121253.0
333.0	120074.0
334.0	119319.0
335.0	118926.0
336.0	118060.0
337.0	117303.0
338.0	116026.0
339.0	115082.0
340.0	115700.0
341.0	113870.0
342.0	112822.0
343.0	112348.0
344.0	111715.0
345.0	110526.0
346.0	109776.0
347.0	108693.0
348.0	108565.0
349.0	107318.0
350.0	107055.0
351.0	106289.0
352.0	105225.0
353.0	104923.0
354.0	104378.0
355.0	103216.0
356.0	102591.0
357.0	101646.0
358.0	100950.0
359.0	99739.0
360.0	99596.0
361.0	98799.0
362.0	98368.0
363.0	97580.0
364.0	96425.0
365.0	95741.0
366.0	94841.0
367.0	94159.0
368.0	94082.0
369.0	92603.0
370.0	92186.0
371.0	91356.0
372.0	90986.0
373.0	90548.0
374.0	89117.0
375.0	88615.0
376.0	87780.0
377.0	87634.0
378.0	86630.0
379.0	86273.0
380.0	85487.0
381.0	84152.0
382.0	83811.0
383.0	83921.0
384.0	82760.0
385.0	81939.0
386.0	81256.0
387.0	80758.0
388.0	80060.0
389.0	79105.0
390.0	77833.0
391.0	77727.0
392.0	76763.0
393.0	75581.0
394.0	75399.0
395.0	74565.0
396.0	73567.0
397.0	73328.0
398.0	72050.0
399.0	71351.0
400.0	70223.0
401.0	69023.0
402.0	69174.0
403.0	68358.0
404.0	66974.0
405.0	65883.0
406.0	65454.0
407.0	64158.0
408.0	62654.0
409.0	61742.0
410.0	59941.0
411.0	58761.0
412.0	57556.0
413.0	56481.0
414.0	54905.0
415.0	53149.0
416.0	51395.0
417.0	49456.0
418.0	47444.0
419.0	45687.0
420.0	43455.0
421.0	41758.0
422.0	39697.0
423.0	37455.0
424.0	35959.0
425.0	33877.0
426.0	31353.0
427.0	29796.0
428.0	27997.0
429.0	26297.0
430.0	24460.0
431.0	22827.0
432.0	21166.0
433.0	19721.0
434.0	18532.0
435.0	17240.0
436.0	16187.0
437.0	15386.0
438.0	14675.0
439.0	13706.0
440.0	12849.0
441.0	12335.0
442.0	11614.0
443.0	11329.0
444.0	10880.0
445.0	10775.0
446.0	10369.0
