#Mapping quality	mapping quality
0.0	894289.0
1.0	1.2074793E7
2.0	1708899.0
3.0	1865387.0
4.0	1574158.0
5.0	837404.0
6.0	4691753.0
7.0	755786.0
8.0	850031.0
9.0	870505.0
10.0	738998.0
11.0	714919.0
12.0	1386066.0
13.0	623601.0
14.0	922902.0
15.0	797552.0
16.0	757317.0
17.0	984969.0
18.0	1507478.0
19.0	734889.0
20.0	717045.0
21.0	1276737.0
22.0	1138541.0
23.0	1461003.0
24.0	2065411.0
25.0	1267275.0
26.0	1150484.0
27.0	1030421.0
28.0	1081079.0
29.0	1041652.0
30.0	2253101.0
31.0	1895910.0
32.0	2444123.0
33.0	2425002.0
34.0	1696777.0
35.0	2576534.0
36.0	2883811.0
37.0	3643252.0
38.0	4117228.0
39.0	4293359.0
40.0	8005658.0
41.0	2.8945045E7
42.0	9.7632562E8
