#Coverage	Number of genomic locations
0.0	1.958215872E9
1.0	1.91859267E8
2.0	1.86655368E8
3.0	1.74987453E8
4.0	1.55200535E8
5.0	1.27678769E8
6.0	9.784186E7
7.0	7.0276791E7
8.0	4.7761722E7
9.0	3.0908023E7
10.0	1.9183748E7
11.0	1.1503744E7
12.0	6680992.0
13.0	3789382.0
14.0	2112171.0
15.0	1172693.0
16.0	658178.0
17.0	386774.0
18.0	239705.0
19.0	162023.0
20.0	118060.0
21.0	91156.0
22.0	73937.0
23.0	61732.0
24.0	53873.0
25.0	46416.0
26.0	39462.0
27.0	34252.0
28.0	30311.0
29.0	26198.0
30.0	24062.0
31.0	22262.0
32.0	19993.0
33.0	18373.0
34.0	16158.0
35.0	14847.0
36.0	13386.0
37.0	12649.0
38.0	11485.0
39.0	10547.0
40.0	9375.0
41.0	8616.0
42.0	7941.0
43.0	7383.0
44.0	6508.0
45.0	5795.0
46.0	5591.0
47.0	5345.0
48.0	5122.0
49.0	4758.0
50.0	4444.0
51.0	4377.0
52.0	4077.0
53.0	3774.0
54.0	3362.0
55.0	3135.0
56.0	3057.0
57.0	2876.0
58.0	2769.0
59.0	2591.0
60.0	2342.0
61.0	2150.0
62.0	2028.0
63.0	1968.0
64.0	1955.0
65.0	1776.0
66.0	1760.0
67.0	1652.0
68.0	1714.0
69.0	1634.0
70.0	1395.0
71.0	1384.0
72.0	1316.0
73.0	1300.0
74.0	1238.0
75.0	1177.0
76.0	1154.0
77.0	1237.0
78.0	1086.0
79.0	1040.0
80.0	1053.0
81.0	951.0
82.0	1030.0
83.0	1035.0
84.0	984.0
85.0	969.0
86.0	990.0
87.0	944.0
88.0	960.0
89.0	951.0
90.0	925.0
91.0	863.0
92.0	811.0
93.0	825.0
94.0	878.0
95.0	800.0
96.0	778.0
97.0	734.0
98.0	737.0
99.0	739.0
100.0	714.0
101.0	746.0
102.0	718.0
103.0	772.0
104.0	728.0
105.0	704.0
106.0	632.0
107.0	744.0
108.0	727.0
109.0	723.0
110.0	758.0
111.0	781.0
112.0	698.0
113.0	661.0
114.0	673.0
115.0	659.0
116.0	633.0
117.0	675.0
118.0	643.0
119.0	587.0
120.0	613.0
121.0	634.0
122.0	618.0
123.0	629.0
124.0	600.0
125.0	576.0
126.0	570.0
127.0	581.0
128.0	573.0
129.0	570.0
130.0	583.0
131.0	545.0
132.0	534.0
133.0	535.0
134.0	568.0
135.0	510.0
136.0	464.0
137.0	472.0
138.0	457.0
139.0	454.0
140.0	456.0
141.0	434.0
142.0	448.0
143.0	434.0
144.0	441.0
145.0	437.0
146.0	466.0
147.0	466.0
148.0	383.0
149.0	402.0
150.0	424.0
151.0	456.0
152.0	415.0
153.0	434.0
154.0	390.0
155.0	400.0
156.0	372.0
157.0	397.0
158.0	345.0
159.0	381.0
160.0	401.0
161.0	347.0
162.0	334.0
163.0	336.0
164.0	330.0
165.0	299.0
166.0	328.0
167.0	309.0
168.0	304.0
169.0	318.0
170.0	296.0
171.0	273.0
172.0	312.0
173.0	317.0
174.0	269.0
175.0	291.0
176.0	327.0
177.0	321.0
178.0	302.0
179.0	368.0
