#Duplication rate	Coverage
1.0	4.3861047E7
2.0	1225906.0
3.0	46424.0
4.0	12949.0
5.0	8948.0
6.0	6968.0
7.0	5421.0
8.0	4229.0
9.0	3286.0
10.0	2559.0
11.0	1983.0
12.0	1533.0
13.0	1285.0
14.0	1066.0
15.0	967.0
16.0	876.0
17.0	746.0
18.0	776.0
19.0	775.0
20.0	763.0
21.0	807.0
22.0	826.0
23.0	890.0
24.0	964.0
25.0	1003.0
26.0	998.0
27.0	1083.0
28.0	1041.0
29.0	1039.0
30.0	1119.0
31.0	1076.0
32.0	1037.0
33.0	1038.0
34.0	967.0
35.0	920.0
36.0	872.0
37.0	819.0
38.0	745.0
39.0	656.0
40.0	598.0
41.0	526.0
42.0	478.0
43.0	438.0
44.0	413.0
45.0	382.0
46.0	314.0
47.0	309.0
48.0	293.0
49.0	242.0
50.0	7560.0
