#Insert size (bp)	insert size
86.0	1.0
89.0	1.0
90.0	4.0
91.0	1.0
92.0	2.0
93.0	5.0
94.0	5.0
95.0	6.0
96.0	12.0
97.0	27.0
98.0	36.0
99.0	29.0
100.0	113.0
101.0	10389.0
102.0	11219.0
103.0	12196.0
104.0	12789.0
105.0	13590.0
106.0	14485.0
107.0	15332.0
108.0	15889.0
109.0	16709.0
110.0	17401.0
111.0	18459.0
112.0	19890.0
113.0	20255.0
114.0	21298.0
115.0	22294.0
116.0	23104.0
117.0	23973.0
118.0	24665.0
119.0	25570.0
120.0	26263.0
121.0	27180.0
122.0	27821.0
123.0	28739.0
124.0	29657.0
125.0	30917.0
126.0	31643.0
127.0	32182.0
128.0	32594.0
129.0	33599.0
130.0	34306.0
131.0	34236.0
132.0	34798.0
133.0	35730.0
134.0	36064.0
135.0	36745.0
136.0	37391.0
137.0	37673.0
138.0	38270.0
139.0	38806.0
140.0	39182.0
141.0	39118.0
142.0	39884.0
143.0	40016.0
144.0	40388.0
145.0	40748.0
146.0	41410.0
147.0	42080.0
148.0	41974.0
149.0	41757.0
150.0	41462.0
151.0	41852.0
152.0	42292.0
153.0	42405.0
154.0	42308.0
155.0	43027.0
156.0	43726.0
157.0	44094.0
158.0	44231.0
159.0	43872.0
160.0	44167.0
161.0	44023.0
162.0	44058.0
163.0	43946.0
164.0	44282.0
165.0	44516.0
166.0	44750.0
167.0	44678.0
168.0	44932.0
169.0	45269.0
170.0	44824.0
171.0	45199.0
172.0	45235.0
173.0	44832.0
174.0	44771.0
175.0	45431.0
176.0	44771.0
177.0	45184.0
178.0	45530.0
179.0	45631.0
180.0	45816.0
181.0	45724.0
182.0	45278.0
183.0	45320.0
184.0	45424.0
185.0	44913.0
186.0	45570.0
187.0	45286.0
188.0	45449.0
189.0	45553.0
190.0	45860.0
191.0	45584.0
192.0	45774.0
193.0	45827.0
194.0	45407.0
195.0	45238.0
196.0	45551.0
197.0	45469.0
198.0	45639.0
199.0	45690.0
200.0	45634.0
201.0	45918.0
202.0	45844.0
203.0	45491.0
204.0	45529.0
205.0	44991.0
206.0	45265.0
207.0	45580.0
208.0	44990.0
209.0	45383.0
210.0	45234.0
211.0	45579.0
212.0	45498.0
213.0	45389.0
214.0	45095.0
215.0	45359.0
216.0	45212.0
217.0	45601.0
218.0	45219.0
219.0	45360.0
220.0	45356.0
221.0	45793.0
222.0	45587.0
223.0	46013.0
224.0	45946.0
225.0	45616.0
226.0	46130.0
227.0	46403.0
228.0	46078.0
229.0	46554.0
230.0	46682.0
231.0	46989.0
232.0	47221.0
233.0	47629.0
234.0	47714.0
235.0	47904.0
236.0	48478.0
237.0	49074.0
238.0	49735.0
239.0	50850.0
240.0	51229.0
241.0	52220.0
242.0	53595.0
243.0	55002.0
244.0	55715.0
245.0	57407.0
246.0	58418.0
247.0	60062.0
248.0	62325.0
249.0	64243.0
250.0	66042.0
251.0	68735.0
252.0	70963.0
253.0	73434.0
254.0	76246.0
255.0	79212.0
256.0	81888.0
257.0	85420.0
258.0	88482.0
259.0	91580.0
260.0	95043.0
261.0	99199.0
262.0	103282.0
263.0	106336.0
264.0	111120.0
265.0	115303.0
266.0	118558.0
267.0	123730.0
268.0	127757.0
269.0	132202.0
270.0	135656.0
271.0	139824.0
272.0	143710.0
273.0	147471.0
274.0	150327.0
275.0	153892.0
276.0	155979.0
277.0	158299.0
278.0	160397.0
279.0	161932.0
280.0	162077.0
281.0	163008.0
282.0	163202.0
283.0	162677.0
284.0	162807.0
285.0	162596.0
286.0	161543.0
287.0	160259.0
288.0	159416.0
289.0	157830.0
290.0	157256.0
291.0	155962.0
292.0	155201.0
293.0	154007.0
294.0	152727.0
295.0	152161.0
296.0	151128.0
297.0	150017.0
298.0	149048.0
299.0	148042.0
300.0	147701.0
301.0	145726.0
302.0	145564.0
303.0	143605.0
304.0	142463.0
305.0	142104.0
306.0	140608.0
307.0	139396.0
308.0	138405.0
309.0	137266.0
310.0	135934.0
311.0	135578.0
312.0	134660.0
313.0	133328.0
314.0	132760.0
315.0	131954.0
316.0	130631.0
317.0	129285.0
318.0	128422.0
319.0	127536.0
320.0	126625.0
321.0	125159.0
322.0	124168.0
323.0	123226.0
324.0	122631.0
325.0	121613.0
326.0	121384.0
327.0	119657.0
328.0	118707.0
329.0	118307.0
330.0	117502.0
331.0	116077.0
332.0	115874.0
333.0	114349.0
334.0	113452.0
335.0	113641.0
336.0	112310.0
337.0	112080.0
338.0	111671.0
339.0	110717.0
340.0	110323.0
341.0	108997.0
