#Mapping quality	mapping quality
0.0	891219.0
1.0	1.2364345E7
2.0	1766892.0
3.0	1898086.0
4.0	1638749.0
5.0	924787.0
6.0	4446996.0
7.0	794968.0
8.0	884885.0
9.0	902793.0
10.0	798180.0
11.0	746245.0
12.0	1375923.0
13.0	666142.0
14.0	971052.0
15.0	843756.0
16.0	811420.0
17.0	999703.0
18.0	1486634.0
19.0	786882.0
20.0	773563.0
21.0	1283359.0
22.0	1177421.0
23.0	1396067.0
24.0	1972453.0
25.0	1275072.0
26.0	1205836.0
27.0	1108427.0
28.0	1175023.0
29.0	1130726.0
30.0	2216979.0
31.0	1928306.0
32.0	2359353.0
33.0	2317256.0
34.0	1769228.0
35.0	2488123.0
36.0	2829817.0
37.0	3559902.0
38.0	4250185.0
39.0	4871140.0
40.0	8340322.0
41.0	3.0690656E7
42.0	1.013994657E9
